key,value
n_FI00_reservoir,FI00_reservoir
n_SE03_reservoir,SE03_reservoir
n_SE02_reservoir,SE02_reservoir
n_SE01_reservoir,SE01_reservoir
n_SE04_reservoir,SE04_reservoir
n_NON1_open-loop,NON1_psOpen
n_NOM1_open-loop,NOM1_psOpen
n_NOS0_open-loop,NOS0_psOpen
n_DE00_ror,DE00_ror
n_DE00_closed-loop,DE00_psClosed
n_PL00_closed-loop,PL00_psClosed
n_LV00_ror,LV00_ror
n_LT00_closed-loop,LT00_psClosed
n_BE00_closed-loop,BE00_psClosed
n_FR00_ror,FR00_ror
n_FR00_reservoir,FR00_reservoir
n_UK00_ror,UK00_ror
n_UK00_closed-loop,UK00_psClosed
n_CH00_reservoir,CH00_reservoir
n_CH00_closed-loop,CH00_psClosed
n_CH00_ror,CH00_ror
n_ITN1_reservoir,ITN1_reservoir
n_ITN1_ror,ITN1_ror
n_ES00_ror,ES00_ror
n_ES00_reservoir,ES00_reservoir
n_AT00_ror,AT00_ror
n_AT00_reservoir,AT00_reservoir
n_AT00_open-loop,AT00_psOpen